model,dataset,seed_set,protocol,planned_action,status,reason
ToPoGate_strict8,20newsgroups,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,banknote_authentication,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,Baron_Human,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,birds_bones_and_living_habits,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,blood_transfusion_service_center,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,boston,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,breast_cancer_coimbra,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,breast_cancer_wisconsin_original,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,breast_cancer_wisconsin_prognostic,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,breast_tissue,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,Campbell,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,cardiovascular_study,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,cifar10,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,CIFAR10_CLIP,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,classification_in_asteroseismology,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,cnae9,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,coil20,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,COIL20_CLIP,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,credit_risk_classification,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,crowdsourced_mapping,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,customer_classification,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,date_fruit,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,dermatology,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,diabetic_retinopathy_debrecen,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,dilbert,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
ToPoGate_strict8,Drug_Consumption,"42,123,7",transductive,reuse_or_run,not_available,no verified transductive three-seed default evidence
