37	Unsupervised Deep Embedding for Clustering Analysis	https://proceedings.mlr.press/v48/xieb16.pdf
38	Improved Deep Embedded Clustering with Local Structure Preservation	https://www.ijcai.org/proceedings/2017/0243.pdf
39	Topological Autoencoders	https://proceedings.mlr.press/v119/moor20a/moor20a.pdf
40	Nearest Neighbor Matching for Deep Clustering	https://openaccess.thecvf.com/content/CVPR2021/papers/Dang_Nearest_Neighbor_Matching_for_Deep_Clustering_CVPR_2021_paper.pdf
41	Contrastive Clustering	https://arxiv.org/pdf/2009.09687.pdf
42	Details (Don't) Matter: Isolating Cluster Information in Deep Embedded Spaces	https://www.ijcai.org/proceedings/2021/0389.pdf
43	Deep Fusion Clustering Network	https://cdn.aaai.org/ojs/17198/17198-13-20692-1-2-20210518.pdf
44	Deep Semantic Clustering by Partition Confidence Maximisation	https://openaccess.thecvf.com/content_CVPR_2020/papers/Huang_Deep_Semantic_Clustering_by_Partition_Confidence_Maximisation_CVPR_2020_paper.pdf
45	Efficient Deep Embedded Subspace Clustering	https://openaccess.thecvf.com/content/CVPR2022/papers/Cai_Efficient_Deep_Embedded_Subspace_Clustering_CVPR_2022_paper.pdf
46	Dual Mutual Information Constraints for Discriminative Clustering	https://ojs.aaai.org/index.php/AAAI/article/view/26032
47	Deep Embedding Clustering Driven by Sample Stability	https://www.ijcai.org/proceedings/2024/0426.pdf
48	SCAN: Learning to Classify Images without Labels	https://arxiv.org/pdf/2005.12320.pdf
