24	ZEUS: Zero-shot Embeddings for Unsupervised Separation of Tabular Data	https://arxiv.org/pdf/2505.10704.pdf
25	TabClustPFN: A Prior-Fitted Network for Tabular Data Clustering	https://arxiv.org/pdf/2601.21656.pdf
26	Transformers can do Bayesian Clustering	https://arxiv.org/pdf/2510.24318.pdf
27	Clustering by Attention: Leveraging Prior Fitted Transformers for Data Partitioning	https://arxiv.org/pdf/2507.20369.pdf
28	Neural Clustering Processes	https://proceedings.mlr.press/v119/pakman20a/pakman20a.pdf
29	DeepDPM: Deep Clustering With an Unknown Number of Clusters	https://openaccess.thecvf.com/content/CVPR2022/papers/Ronen_DeepDPM_Deep_Clustering_With_an_Unknown_Number_of_Clusters_CVPR_2022_paper.pdf
30	Interpretable Deep Clustering for Tabular Data	https://raw.githubusercontent.com/mlresearch/v235/main/assets/svirsky24a/svirsky24a.pdf
31	TableDC: Deep Clustering for Tabular Data	https://arxiv.org/pdf/2405.17723.pdf
32	CLUBench: A Clustering Benchmark	https://arxiv.org/pdf/2605.29933.pdf
33	FoMo-0D: A Foundation Model for Zero-Shot Tabular Outlier Detection	https://openreview.net/pdf?id=XCQzwpR9jE
34	From Zero to Hero: Advancing Zero-Shot Foundation Models for Tabular Outlier Detection	https://arxiv.org/pdf/2602.03018.pdf
35	InfoAtlas: A Foundation Model for Zero-Shot Statistical Dependence Estimate	https://arxiv.org/pdf/2606.00241.pdf
